year,month,day,hour,min,second,validity,source,earthquake_mag,country,name,lat,lng,water_height,tsunami_mag_lida,tsunami_intensity,death_nbr,injuries_nbr,damage_mill,damage_code,house_destroyed,house_code
1855,0,0,0,0,0,event that only caused a seiche or disturbance in an inland river,Earthquake,4.8,CHINA,SICHUAN PROVINCE,29.2,108.1,3,0,0,0,0,1,1,0,0
1856,2,15,13,25,0,probable tsunami,Earthquake and Landslide,5.5,USA,N. CALIFORNIA,37.5,-122.3,0.6,0,-1,0,0,0,0,0,0
1856,8,4,0,0,0,definite tsunami,Earthquake and Landslide,7.5,HONDURAS,BAY OF HONDURAS,16,-88,5,0,0,0,0,5,2,0,0
1856,8,23,4,30,0,definite tsunami,Earthquake,8,JAPAN,SE. HOKKAIDO ISLAND,40.5,143.5,6,2.6,2,26,0,5,2,193,3
1856,10,12,0,45,0,questionable tsunami,Earthquake,8.3,GREECE,CRETE,35.5,26,0,0,3,0,0,0,0,0,0
1856,11,13,0,0,0,probable tsunami,Earthquake,6.6,GREECE,"CHIOS ISLAND, AEGEAN ISLANDS",38.5,26.25,0,0,3,0,0,0,0,0,0
1857,4,17,0,0,0,definite tsunami,Earthquake and Landslide,8,PAPUA NEW GUINEA,BISMARCK SEA,-5.5,147,0,0,1.5,0,0,5,2,0,2
1857,5,13,0,0,0,definite tsunami,Earthquake,7,INDONESIA,BALI SEA,-8,115.5,3.4,1.6,2,0,0,0,0,0,0
1857,7,13,22,0,0,definite tsunami,Earthquake,6.4,JAPAN,TOKAIDO,34.8,138.3,0,0,0,0,0,1,1,0,0
1858,2,21,9,2,0,very doubtful tsunami,Earthquake,0,GREECE,GULF OF CORINTH,37.9,22.9,0,0,0,0,0,0,0,0,0
1858,4,24,11,15,0,questionable tsunami,Earthquake,6.5,CHILE,CENTRAL CHILE,-30,-71.4,0,1,1,0,0,0,0,0,0
1858,12,13,0,0,0,questionable tsunami,Earthquake,7.3,INDONESIA,N. MOLUCCAS ISLANDS,1,126,0,0,1.5,0,0,24,3,0,3
1859,6,28,0,0,0,definite tsunami,Earthquake,7,INDONESIA,N. MOLUCCAS ISLANDS,1,126.5,10,3.2,3,0,0,0,0,0,0
1859,7,29,0,0,0,definite tsunami,Earthquake,7.3,INDONESIA,N. MOLUCCAS ISLANDS,0.009,125.5,1,1,1.5,0,0,5,2,0,2
1859,8,21,11,55,0,probable tsunami,Earthquake,0,TURKEY,IMROZ - AEGEAN SEA,40,26,0,0,3,0,0,0,0,0,0
1859,8,25,0,0,0,probable tsunami,Earthquake,6.2,EL SALVADOR,EL SALVADOR,13.33,-87.81,0,1,1.5,0,0,1,1,0,0
1859,9,25,0,0,0,questionable tsunami,Earthquake,6.8,INDONESIA,BANDA SEA,-5.5,130.5,0,1,0.5,0,0,0,0,0,0
1859,10,5,12,0,0,definite tsunami,Earthquake,7.6,CHILE,NORTHERN CHILE,-27.35,-70.35,6,2.5,2.5,0,0,1,1,0,0
1859,12,9,2,0,0,probable tsunami,Earthquake,7,EL SALVADOR,EL SALVADOR,13.7,-89.8,0,1,1.5,0,0,1,1,0,1
1860,4,8,0,0,0,definite tsunami,Earthquake,7.5,HAITI,ANSE-A-VEAU,18.52,-73.35,0,0,0,0,0,0,0,0,0
1861,2,16,0,0,0,definite tsunami,Earthquake,8.5,INDONESIA,SW. SUMATRA,-1,97.5,7,0,3,1105,0,5,2,0,0
1861,3,9,0,0,0,definite tsunami,Earthquake,7,INDONESIA,SW. SUMATRA,0.009,98,0,0,2,950,0,1,1,96,1
1861,4,26,0,0,0,definite tsunami,Earthquake,7,INDONESIA,SW. SUMATRA,1,97.5,0,0,1.5,0,0,0,0,0,0
1861,6,17,0,0,0,probable tsunami,Earthquake,6.8,INDONESIA,SW. SUMATRA,1,97.5,0,0,0.5,0,0,0,0,0,0
1861,9,25,0,0,0,probable tsunami,Earthquake,6.5,INDONESIA,SW. SUMATRA,-1.5,100,0,0,1.5,0,0,1,1,0,1
1861,10,20,17,30,0,definite tsunami,Earthquake,7.4,JAPAN,OFF MIYAGI,38.5,142,3.9,2,2,0,0,1,1,0,0
1861,12,26,0,0,0,definite tsunami,Earthquake and Landslide,7.3,GREECE,CORINTH GULF,38.2,22.2,2.1,1.1,4,0,0,5,2,0,3
1862,3,4,9,30,0,very doubtful tsunami,Earthquake,6,PHILIPPINES,W. LUZON ISLAND,14.5,121,0,0,0.5,0,0,1,1,0,0
1862,5,27,20,0,0,definite tsunami,Earthquake and Landslide,5.9,USA,S. CALIFORNIA,32.7,-117.2,1.2,0.3,0,0,0,0,0,0,0
1862,7,10,0,0,0,questionable tsunami,Earthquake,6.5,GHANA,GOLD COAST,7,0.4,0,0,0,0,0,0,0,0,0
1863,6,3,11,20,0,questionable tsunami,Earthquake,6.5,PHILIPPINES,W. LUZON ISLAND,14.5,121,0,1,1,0,0,1,1,0,0
1863,8,17,0,0,0,questionable tsunami,Earthquake,7.5,VANUATU,VANUATU ISLANDS,-19,168.5,0,0,1,0,0,0,0,0,0
1863,9,20,0,0,0,probable tsunami,Earthquake,6.4,JAPAN,NW. HOKKAIDO ISLAND,44.6,141.5,0,0,0,0,0,0,0,0,0
1864,5,23,0,0,0,probable tsunami,Earthquake,7.8,INDONESIA,NW. IRIAN JAYA,-1,135,3,3.6,1.5,250,0,24,3,0,3
1865,10,8,20,46,0,probable tsunami,Earthquake and Landslide,6.3,USA,N. CALIFORNIA,37.2,-121.9,0,0,0.5,0,0,0,0,0,0
1865,10,19,0,0,0,questionable tsunami,Earthquake,6,PHILIPPINES,PHILIPPINES,13.25,123.5,0,0,0,0,0,5,2,223,3
1865,11,18,0,0,0,definite tsunami,Earthquake,8,TONGA,TONGA ISLANDS,-19.5,-173.5,1.25,0,3,0,0,1,1,20,1
1866,1,2,0,0,0,questionable tsunami,Earthquake,6.5,ALBANIA,ALBANIAN COASTS,40.3,19.4,0,0,4,0,0,0,0,0,0
1866,1,31,0,0,0,very doubtful tsunami,Volcano and Earthquake,6.1,GREECE,THERA ISLAND (SANTORINI),36.4,25.3,0,0,0,0,0,0,0,0,0
1866,2,6,0,0,0,probable tsunami,Earthquake,6,GREECE,"S. COASTS PELOPONNESUS, GREECE",36,23,8.6,0,4,0,0,0,0,0,0
1866,3,2,15,30,0,probable tsunami,Earthquake,6.3,ALBANIA,ALBANIAN COASTS,40.4,19.5,0,0,3,0,0,0,0,0,0
1866,3,6,0,0,0,probable tsunami,Earthquake,0,GREECE,THERA ISLAND (SANTORINI),36.404,25.396,0,0,4,0,0,0,0,0,0
1867,2,4,0,0,0,probable tsunami,Earthquake,0,GREECE,IONIAN SEA,38.39,20.52,0,0,2,0,0,0,0,0,0
1867,9,20,3,15,0,definite tsunami,Earthquake,7.1,GREECE,"PELOPONNESUS, GREECE",36.4,22.2,6,0,4,0,0,5,2,0,2
1867,9,0,0,0,0,very doubtful tsunami,Earthquake,7.5,VENEZUELA,ISLA DE MARGARITA,10.9,-64.1,0,0,0,0,0,0,0,0,0
1867,11,18,18,45,0,definite tsunami,"Volcano, Earthquake, and Landslide",7.5,USA TERRITORY,VIRGIN ISLANDS,18.1,-65.1,15.2,2.3,0,24,0,24,3,0,0
1867,12,18,0,0,0,definite tsunami,Earthquake,7,TAIWAN,E. CHINA SEA,25.34,121.91,15,2,2,80,0,5,2,0,2
1868,4,3,2,24,0,definite tsunami,Earthquake,7.9,USA,HAWAII,19,-155.5,13.7,4.3,3.5,47,0,5,2,108,3
1868,8,13,21,30,0,definite tsunami,Earthquake,8.5,CHILE,NORTHERN CHILE,-18.6,-71,18,4.2,3.5,25000,0,25,4,0,0
1868,8,13,0,0,0,questionable tsunami,Earthquake,8.5,VENEZUELA,RIO CARIBE,10.7,-63.1,0,0,0,0,0,0,0,0,0
1868,8,14,1,30,0,definite tsunami,Earthquake,8.5,CHILE,NORTHERN CHILE,-18.6,-71,0.17,0,0,0,0,0,0,0,0
1868,10,18,12,35,0,definite tsunami,Earthquake,7.6,NEW ZEALAND,,-40.2,173,3,0,0,0,0,0,0,0,0
1868,10,21,15,53,0,probable tsunami,Earthquake and Landslide,6.8,USA,N. CALIFORNIA,37.7,-122.1,4.5,2.2,0.5,0,0,0,0,0,0
1869,8,16,7,0,0,questionable tsunami,Earthquake,7,PHILIPPINES,SULU SEA,12.5,123.5,0,0,0,0,0,0,0,0,0
1869,8,21,16,40,0,very doubtful tsunami,Earthquake,6.8,CHILE,NORTHERN CHILE,-21,-70,0,0,0,0,0,0,0,0,0
1869,8,24,17,10,0,probable tsunami,Earthquake,7.5,CHILE,NORTHERN CHILE,-19.6,-70.23,2,0,1.5,0,0,1,1,0,0
1869,10,11,13,0,0,very doubtful tsunami,Earthquake,5.6,UKRAINE,BLACK SEA,44.75,35,0,0,3,0,0,0,0,0,0
1869,12,28,0,0,0,questionable tsunami,Earthquake,6.9,GREECE,IONIAN SEA,38.8,20.7,0,0,3,0,0,0,0,0,0
1870,5,11,23,30,0,probable tsunami,Earthquake,7.9,MEXICO,"PUERTO ANGEL, MEXICO",15.4,-96.3,0,0,0,0,0,0,0,0,0
1870,8,1,0,45,0,very doubtful tsunami,Earthquake,7,GREECE,IONIAN SEA,38.5,22.5,0,0,4,0,0,0,0,0,0
1871,2,20,8,41,0,very doubtful tsunami,Earthquake,7,USA,HAWAII,20.7,-157,0,0,0,0,0,0,0,0,0
1871,3,25,0,0,0,questionable tsunami,Earthquake,7.5,CHILE,CENTRAL CHILE,-35,-72.5,1,0,0.5,0,0,0,0,0,0
1871,8,21,0,0,0,questionable tsunami,Earthquake,7,PERU,S. PERU,-13,-77,0,1,1,0,0,0,0,0,0
1872,1,10,0,0,0,very doubtful tsunami,Earthquake,6.5,PERU,S. PERU,-16.4,-71.5,0,0,0,0,0,0,0,0,0
1872,1,26,0,0,0,probable tsunami,Earthquake,6,PHILIPPINES,PHILIPPINES,16,119,0,0,1.5,0,0,0,0,0,0
1872,3,14,8,20,0,definite tsunami,Earthquake,7.4,JAPAN,SW. HONSHU ISLAND,34.9,132,3,1.5,1,0,0,0,0,0,0
1872,3,26,10,30,0,Erroneous entry,Earthquake,7.3,USA,S. CALIFORNIA,36.7,-118.1,0,0,0,0,0,0,0,0,0
1873,11,23,5,9,0,probable tsunami,Earthquake and Landslide,6.7,USA,N. CALIFORNIA,42,-124,3.05,0,0,0,0,0,0,0,0
1873,0,0,0,0,0,probable tsunami,Earthquake,8,PAPUA NEW GUINEA,MACLAY COAST,-5.5,146,0,1,2,0,0,5,2,0,2
1875,3,28,0,0,0,probable tsunami,Earthquake,8,NEW CALEDONIA,"LIFOU ISLAND, LOYALTY ISLANDS",-20,168.5,4,2,2.5,25,0,24,3,0,3
1875,5,10,0,0,0,questionable tsunami,Earthquake,7,VANUATU,VANUATU ISLANDS,-18.5,168,0,0,0.5,0,0,0,0,0,0
1875,0,0,0,0,0,questionable tsunami,Earthquake,7,PAPUA NEW GUINEA,BISMARCK SEA,-6,147,0,0,0,0,0,0,0,0,0
1876,5,28,0,0,0,probable tsunami,Earthquake,6.8,INDONESIA,CERAM SEA,-3,127.25,0.3,0,-1,0,0,0,0,0,0
1877,5,10,0,59,0,definite tsunami,Earthquake,8.3,CHILE,NORTHERN CHILE,-21.5,-70.5,24,4.4,3.5,2282,0,24,3,0,3
1878,1,10,0,0,0,probable tsunami,Earthquake,7.5,VANUATU,TANNA ISLAND,-19,168.5,12,3.6,3,0,0,1,1,0,0
1878,1,23,12,5,0,very doubtful tsunami,Earthquake,7.9,CHILE,NORTHERN CHILE,-19.92,-70.335,0,0,0,0,0,0,0,0,0
1878,2,11,0,0,0,probable tsunami,Earthquake,8,VANUATU,TANNA ISLAND,-19,168.5,0,1,1.5,0,0,0,0,0,0
1878,4,19,9,0,0,very doubtful tsunami,Earthquake,6.7,TURKEY,GULF OF IZMIT,40.8,20.9,0,0,3,0,0,0,0,0,0
1879,7,11,18,0,0,probable tsunami,Earthquake,5.9,EGYPT,GULF OF SUEZ,29,33,0,0,0,0,0,0,0,0,0
1880,7,18,4,40,0,definite tsunami,Earthquake and Landslide,7.5,PHILIPPINES,E. LUZON ISLAND,16,121.85,0,0,0,0,0,0,0,0,0
1880,8,15,12,48,0,very doubtful tsunami,Earthquake,7.7,CHILE,CENTRAL CHILE,-31.62,-71.18,0,0,0.5,0,0,0,0,0,0
1880,9,8,9,30,0,probable tsunami,Earthquake,7,NEW ZEALAND,GISBORNE,-38.85,178.85,0,0,0,0,0,0,0,0,0
1880,9,29,4,0,0,probable tsunami,Earthquake,6.3,USA,"CHIRIKOF ISLAND, AK",55.8,-155.6,0,0,0,0,0,0,0,0,0
1880,10,26,22,20,0,probable tsunami,Earthquake and Landslide,6.3,USA,"SITKA, AK",57,-136,1.8,5.9,0,0,0,0,0,0,0
1881,4,3,11,40,0,probable tsunami,Earthquake,6.5,GREECE,"CHIOS ISLAND, AEGEAN ISLANDS",38.2,26.2,0,0,2,0,0,0,0,0,0
1881,10,25,0,0,0,questionable tsunami,Earthquake,7,JAPAN,HOKKAIDO ISLAND,43.3,147.3,0,0,1.5,0,0,0,0,0,0
1881,12,31,0,0,0,probable tsunami,Earthquake,7.9,INDIA,BAY OF BENGAL: W OF CAR NICOBAR IS,8.52,92.43,1.22,0.3,0,0,0,0,0,0,0
1882,9,7,7,50,0,definite tsunami,Earthquake and Landslide,7.9,PANAMA,SAN BLAS ARCHIPELAGO,10,-79,3,0,1,100,0,24,3,0,3
1882,10,10,0,0,0,probable tsunami,Earthquake,7.5,INDONESIA,BANDA SEA,-4.5,129.9,0,0,0.5,0,0,0,0,0,0
1882,12,9,0,0,0,event that only caused a seiche or disturbance in an inland river,Earthquake,6.2,TAIWAN,SOUTH CHINA SEA,24.5,120.5,0,0,0,0,0,0,0,0,0
1884,7,20,9,30,0,definite tsunami,Earthquake,6.2,ERITREA,OFFSHORE MASSAWA,15.7,39.6,0,0,0,0,0,0,0,0,0
1884,8,10,19,7,0,questionable tsunami,Earthquake,5.5,USA,"ROCKAWAY BEACH, NEW YORK",40.6,-73.75,1.8,0,0,0,0,0,0,0,0
1884,11,5,0,0,0,very doubtful tsunami,Earthquake,7.5,PANAMA,GULF OF PANAMA,7.5,-79,0,0,0,0,0,5,2,0,2
1885,4,30,0,0,0,probable tsunami,Earthquake,7.3,INDONESIA,MOLUCCAS ISLANDS,-2.5,127.5,1.2,0,0.5,0,0,1,1,3,1
1886,8,27,21,32,0,probable tsunami,Earthquake,7.5,GREECE,IONIAN SEA,37.1,21.5,0,0,3,0,0,0,0,0,0
1886,9,1,2,51,0,definite tsunami,Earthquake,7.3,USA,"CHARLESTON, SC",32.9,-80,0,0,0,0,0,0,0,0,0
1887,5,3,0,0,0,very doubtful tsunami,Earthquake and Landslide,8,MEXICO,N. MEXICO,31,-109,0,0,1,0,0,0,0,0,0
1887,10,3,0,0,0,questionable tsunami,Earthquake,6.2,GREECE,"PELOPONNESUS, GREECE",38.3,22.8,0,0,3,0,0,0,0,0,0
1888,6,13,0,0,0,event that only caused a seiche or disturbance in an inland river,Earthquake,7.5,CHINA,BOHAI GULF,38.5,119,0,0,0,0,0,0,0,0,0
1888,9,9,15,4,0,definite tsunami,Earthquake,0,GREECE,GULF OF CORINTH,38.2,22.1,0,0,0,0,0,0,0,0,0
1889,5,25,18,23,0,probable tsunami,Earthquake,6.8,PHILIPPINES,MINDORO ISLAND,13.5,121,0.1,0,-3,0,0,0,0,0,0
1889,9,6,12,0,0,definite tsunami,Earthquake,8,INDONESIA,N. MOLUCCAS ISLANDS,1,126.25,4,1,2.5,0,0,5,2,0,2
1889,11,23,0,0,0,questionable tsunami,Earthquake,6,INDONESIA,JAVA,-7,113.5,0,0,1,0,0,0,0,0,0
1890,7,11,7,55,0,probable tsunami,Earthquake,7.2,IRAN,CASPIAN SEA,36.6,54.6,0,0,0,0,0,0,0,0,0
1891,10,5,0,0,0,probable tsunami,Earthquake,7,INDONESIA,TIMOR SEA,-9,124,0,0,0.5,0,0,0,0,0,0
1892,5,16,11,10,0,definite tsunami,Earthquake,7.5,USA TERRITORY,"GUAM, MARIANA ISLANDS",14,143.3,0,0,0.5,0,0,0,0,0,0
1892,11,18,0,0,0,probable tsunami,Earthquake,7,INDONESIA,SERAM ISLAND,-3,127.75,0,0,-1,0,0,0,0,0,0
1892,12,9,0,0,0,definite tsunami,Earthquake,6.5,JAPAN,SW. HONSHU ISLAND,37,136.8,0,0,0,0,0,0,0,0,0
1893,2,9,0,0,0,definite tsunami,Earthquake,6.5,GREECE,SAMOTHRACE,40.5,25.5,1,0,3,0,0,1,1,0,1
1893,4,17,5,6,0,probable tsunami,Earthquake,6.4,GREECE,IONIAN SEA,37.7,20.9,0,0,0,0,0,0,0,0,0
1893,6,4,2,27,0,definite tsunami,Earthquake,7,RUSSIA,S. KURIL ISLANDS,43.3,147.5,3,1.6,1.5,0,0,0,0,0,0
1893,6,13,0,0,0,definite tsunami,Earthquake,6.9,JAPAN,"NEMURO, JAPAN",42.5,145.5,0,0,1,0,0,0,0,0,0
1893,6,14,0,0,0,questionable tsunami,Earthquake,7.5,ALBANIA,ALBANIAN COASTS,40.2,19.7,0,0,3,0,0,0,0,0,0
1893,7,31,0,0,0,very doubtful tsunami,Earthquake,6,VANUATU,"PORT VILA, EFATE ISLAND",-17.75,168.3,0,0,0,0,0,0,0,0,0
1894,3,22,10,23,0,definite tsunami,Earthquake,7.9,JAPAN,SE. HOKKAIDO ISLAND,42.5,146,4,2,1.5,0,0,1,1,0,0
1894,4,27,19,21,0,definite tsunami,Earthquake and Landslide,7,GREECE,NORTH EVOIKOS GULF,38.7,23.1,3,1.6,4,0,0,0,0,0,0
1894,7,10,12,33,0,definite tsunami,Earthquake,6.7,TURKEY,MARMARA SEA,40.6,28.7,0,0,3,0,0,0,0,0,0
1894,10,22,8,35,0,definite tsunami,Earthquake,7,JAPAN,"YAMAGATA, JAPAN",38.9,139.8,0,-1,-1,0,0,0,0,0,0
1895,3,6,8,35,0,definite tsunami,Earthquake,7.3,PAPUA NEW GUINEA,SOLOMON SEA,-8.4,150.1,6,2.6,2,0,0,0,2,0,2
1895,7,8,21,30,0,questionable tsunami,Earthquake,8.2,TURKMENISTAN,CASPIAN SEA,39.5,53.7,0,0,0,0,0,1,1,0,1
1895,8,18,6,57,0,definite tsunami,Earthquake and Landslide,6,NEW ZEALAND,"LAKE TAUPO, NORTH ISLAND",-38.8,176,0,0,0,0,0,0,0,0,0
1895,9,1,11,9,0,probable tsunami,Earthquake,4.3,USA,"HIGH BRIDGE, NJ",40.667,-74.883,0,0,0,0,1,0,0,0,0
1895,10,31,11,8,0,event that only caused a seiche or disturbance in an inland river,Earthquake,6.7,USA,"CHARLESTON, MO",37,-89.4,0,0,0,0,1,0,0,0,0
1896,1,9,0,0,0,definite tsunami,Earthquake,7.6,JAPAN,"KASHIMA, JAPAN",36.5,141,0.25,0,-2.5,0,0,0,0,0,0
1896,6,15,10,33,0,definite tsunami,Earthquake,8.3,JAPAN,SANRIKU,39.5,144,38.2,5.2,3.8,27122,9247,25,4,11000,4
1896,10,10,0,0,0,questionable tsunami,Earthquake,6.8,INDONESIA,SW. SUMATRA,-3.5,102.5,0,0,0,0,0,0,0,0,0
1897,2,19,20,50,0,definite tsunami,Earthquake,7.4,JAPAN,SANRIKU,38.1,141.9,1,0,0,0,0,0,0,0,0
1897,3,15,0,0,0,questionable tsunami,Earthquake,5.5,INDONESIA,FLORES SEA,-6.8,120.8,0,0,1,0,0,0,0,0,0
1897,6,12,11,6,0,event that only caused a seiche or disturbance in an inland river,Earthquake,8.7,INDIA,ASSAM,26,91,0,0,0,0,0,0,0,0,0
1897,6,20,0,0,0,questionable tsunami,Earthquake,7,MEXICO,S. MEXICO,16,-95,0,0,0,0,0,0,0,0,0
1897,8,5,0,10,0,definite tsunami,Earthquake,7.7,JAPAN,SANRIKU,38,143.7,3.6,1.5,1,0,0,1,1,0,0
1897,9,20,19,6,0,very doubtful tsunami,Earthquake,8.6,PHILIPPINES,SULU SEA,6,122,2,0,1,0,0,0,0,0,0
1897,9,21,5,12,0,definite tsunami,Earthquake,8.7,PHILIPPINES,SULU SEA,6,122,7,2.6,2.5,13,14,1,1,33,1
1897,10,18,23,48,0,probable tsunami,Earthquake,8.1,PHILIPPINES,SAMAR ISLAND,12,126,0,0,1.5,0,0,1,1,0,0
1898,3,31,7,43,0,very doubtful tsunami,Meteorological,6.2,USA,"OAKLAND, N. CALIFORNIA",38.2,-122.4,0.31,2,2,0,0,0,0,0,0
1898,4,22,23,37,0,definite tsunami,Earthquake,7.2,JAPAN,HONSHU ISLAND,38.6,142,0.1,0,-3,0,0,0,0,0,0
1898,6,2,21,40,0,probable tsunami,Earthquake,0,GREECE,"PELOPONNESUS, GREECE",37.6,22.5,0,0,0,0,0,0,0,0,0
1898,7,23,2,17,0,very doubtful tsunami,Earthquake,6.5,CHILE,CENTRAL CHILE,-36.83,-73.03,0,0,0,0,0,0,0,0,0
1899,1,22,7,56,0,questionable tsunami,Earthquake,6.6,GREECE,IONIAN SEA,37.2,21.6,1,0,3,0,0,0,0,0,0
1899,9,4,0,22,0,definite tsunami,Earthquake,8.2,USA,"CAPE YAKATAGA, AK",60,-142,3.1,0,0,0,0,1,1,0,0
1899,9,10,21,41,0,definite tsunami,Earthquake and Landslide,8.2,USA,"YAKUTAT BAY, AK",60,-140,60.96,5.9,3,0,0,24,3,0,0
1899,9,29,17,3,0,definite tsunami,Earthquake and Landslide,7.8,INDONESIA,BANDA SEA,-3,128.5,12,3.6,3,2460,300,24,3,0,0
1899,11,24,18,43,0,definite tsunami,Earthquake,7.1,JAPAN,SEIKAIDO,31.9,132,0.3,-1.7,-1,0,0,0,0,0,0
1899,11,25,18,55,0,definite tsunami,Earthquake,6.9,JAPAN,SEIKAIDO,32.7,132.3,0,-1,-2,0,0,0,0,0,0
1899,12,25,12,25,0,very doubtful tsunami,Meteorological,6.4,USA,S. CALIFORNIA,33.8,-118.5,0,0,0.5,0,0,0,0,0,0
1900,9,10,21,30,0,definite tsunami,Earthquake,6.8,PAPUA NEW GUINEA,BISMARCK SEA,-4,152,0,0,0,0,0,0,0,0,0
1900,9,17,21,45,0,probable tsunami,Earthquake,7.1,PAPUA NEW GUINEA,RABAUL HARBOR,-5,148,3,0,1.5,0,0,0,0,0,0
1900,10,7,21,4,0,probable tsunami,Earthquake,6.9,INDONESIA,BISMARCK SEA,-4,140,0,1,1.5,5,0,1,1,1,1
1900,10,29,9,11,0,probable tsunami,Earthquake,8.4,VENEZUELA,MANCUTO,11,-66,10,0,0,0,0,0,0,0,0
1901,3,3,7,45,0,probable tsunami,Earthquake and Landslide,6.7,USA,"MONTEREY BAY, N. CALIFORNIA",36,-120.5,0,0,0,0,0,0,0,0,0
1901,3,31,7,12,0,very doubtful tsunami,Earthquake,7.2,BULGARIA,BLACK SEA,43.4,28.5,3,0,0,0,0,0,0,0,0
1901,6,15,0,0,0,definite tsunami,Earthquake,6,JAPAN,"IWATE, JAPAN",39,143,0,0,0,0,0,0,0,0,0
1901,6,24,0,0,0,definite tsunami,Earthquake,7.5,JAPAN,RYUKYU ISLANDS,28,130.3,0.25,-2.3,-1.5,0,0,1,1,0,0
1901,8,9,9,23,30,definite tsunami,Earthquake,7.2,JAPAN,OFF NORTHEAST COAST HONSHU,40.5,142.5,0.6,0,-0.5,0,0,0,0,0,0
1901,8,9,13,1,0,definite tsunami,Earthquake,7.9,NEW CALEDONIA,LOYALTY ISLANDS,-22,170,1.2,-0.7,0,0,0,5,2,0,0
1901,8,9,18,33,45,definite tsunami,Earthquake,7.4,JAPAN,OFF NORTHEAST COAST HONSHU,40.6,142.3,0.25,-1,-1,0,0,0,0,0,0
1901,8,9,20,0,0,definite tsunami,Earthquake,6.3,JAPAN,OFF NORTHEAST COAST HONSHU,40.5,142.5,0.02,-1,0,0,0,0,0,0,0
1901,9,10,0,30,0,questionable tsunami,Earthquake,7,PHILIPPINES,E. LUZON ISLAND,14,121.6,0,0,0,0,0,0,0,0,0
1901,10,8,2,16,0,probable tsunami,Earthquake,7,NICARAGUA,NICARAGUA,11,-86.5,1.5,0,0,0,0,0,0,0,0
1901,12,31,9,2,30,very doubtful tsunami,Earthquake,7.1,USA,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",51.45,-171.02,0,0,0,0,0,0,0,0,0
1902,1,18,23,23,0,very doubtful tsunami,Questionable Earthquake,6.3,GUATEMALA,OCOSA,14.71,-91.59,0,0,0,0,0,0,0,0,0
1902,2,26,0,0,0,probable tsunami,Earthquake,7,EL SALVADOR,EL SALVADOR-GUATEMALA,13.5,-89.5,0,2.3,2,185,100,24,3,0,0
1902,4,19,2,23,30,event that only caused a seiche or disturbance in an inland river,Earthquake,7.5,GUATEMALA,OCOS,14,-91,0,0,0,0,0,0,0,0,0
1902,7,5,14,56,30,probable tsunami,Earthquake,6.6,GREECE,AEGEAN SEA,40.75,23.25,0,0,2,0,0,0,0,0,0
1902,8,21,11,17,0,very doubtful tsunami,Earthquake,7.3,PHILIPPINES,"ILLANA BAY, CELEBES SEA",7.5,123.5,0,0,2,0,0,0,0,0,0
1903,3,30,0,0,0,questionable tsunami,Earthquake,6.5,INDONESIA,BANDA SEA,-3,127.5,1,-0.5,0,0,0,0,0,0,0
1903,12,7,14,25,0,probable tsunami,Earthquake,6.5,CHILE,NORTHERN CHILE,-28.5,-71,0,0,0,0,0,0,0,0,0
1904,1,20,14,52,6,very doubtful tsunami,Earthquake,7.9,COLOMBIA,OFF THE COAST PANAMA-COLOMBIA,7,-79,0,0,0,0,0,0,0,0,0
1904,6,25,14,45,36,definite tsunami,Earthquake,8.3,RUSSIA,"KAMCHATKA PENINSULA, RUSSIA",52,159,0,1,2,0,0,0,0,0,0
1904,6,25,21,0,36,probable tsunami,Earthquake,8.1,RUSSIA,"KAMCHATKA PENINSULA, RUSSIA",52,159,0,1,0,0,0,0,0,0,0
1904,8,8,22,50,0,very doubtful tsunami,Earthquake,7.2,NEW ZEALAND,CAPE TURNAGAIN,-40.4,176.4,3,0,0,0,0,0,0,0,0
1904,12,20,5,44,18,questionable tsunami,Earthquake,7.2,PANAMA,BOCAS DEL TORO,9.2,-82.8,0,0,0,0,0,0,0,0,0
1905,1,20,2,32,30,questionable tsunami,Earthquake,0,GREECE,AEGEAN SEA,39.66,22.83,0,0,0,0,0,0,0,0,0
1905,1,20,18,23,0,questionable tsunami,Earthquake,6.8,COSTA RICA,GULF OF NICOYA,9.85,-84.68,0,0,0,0,0,0,0,0,0
1905,4,4,0,50,0,event that only caused a seiche or disturbance in an inland river,Earthquake,7.8,INDIA,"KANGRA, INDIA",33,76,0,0,0,0,0,0,0,0,0
1905,7,6,16,21,0,probable tsunami,Earthquake,7,JAPAN,JAPAN: OFF FUKUSHIMA,37.4,142.6,0,-1,0,57,0,0,0,0,0
1905,9,8,1,43,11,definite tsunami,Earthquake,7.1,ITALY,TYRRHENIAN CALABRIA,38.67,16.07,1.3,0,4,0,0,0,0,0,0
1905,10,4,22,29,0,definite tsunami,Earthquake,5.1,RUSSIA,BLACK SEA,44.5,37.5,0.5,-1,2,0,0,0,0,0,0
1905,10,21,11,1,37,very doubtful tsunami,Earthquake,7.5,GEORGIA,CAUCASUS,42,42,0,0,0,0,0,0,0,0,0
1905,12,8,8,22,0,very doubtful tsunami,Earthquake,6.5,PHILIPPINES,W. LUZON ISLAND,11,123.5,0,-0.5,0,0,0,0,0,0,0
1906,1,31,15,35,51,definite tsunami,Earthquake,8.8,ECUADOR,OFF COAST,1,-81.5,5,1,3,1000,0,24,3,0,3
1906,4,18,13,12,0,definite tsunami,Earthquake and Landslide,7.9,USA,N. CALIFORNIA,37.7,-122.5,0.1,-3.3,-4,0,0,0,0,0,0
