year,month,day,hour,min,second,validity,source,earthquake_mag,country,name,lat,lng,water_height,tsunami_mag_lida,tsunami_intensity,death_nbr,injuries_nbr,damage_mill,damage_code,house_destroyed,house_code
1580,4,6,0,0,0,event that only caused a seiche or disturbance in an inland river,Earthquake,6.2,UK,"DOVER STRAITS, ENGLAND",51.019,1.309,0,0,0,0,0,0,0,0,0
1582,1,22,16,30,0,very doubtful tsunami,Earthquake,8.2,PERU,S. PERU,-16.6,-71.6,0,0,0,0,0,0,0,0,0
1584,3,11,10,30,0,questionable tsunami,Earthquake and Landslide,5.9,SWITZERLAND,SWITZERLAND,46.33,6.97,18,0,0,0,0,24,3,0,1
1584,3,17,0,0,0,questionable tsunami,Earthquake,8.4,PERU,PERU,-11.8,-77.8,0,0,0,0,0,0,0,0,0
1586,1,18,0,0,0,definite tsunami,Earthquake,8.2,JAPAN,ISE BAY,35,136.8,0,2,1,0,0,24,3,0,3
1586,7,10,0,30,0,definite tsunami,Earthquake,8.5,PERU,CENTRAL PERU,-12.3,-77.7,26,4.6,3.5,0,0,24,3,0,0
1589,3,21,0,0,0,definite tsunami,Earthquake,6.7,JAPAN,"SURUGA, JAPAN",34.8,138.2,0,1,1,0,0,24,3,0,0
1590,0,0,0,0,0,questionable tsunami,Earthquake,7.7,PERU,S. PERU,-17.2,-72.9,0,0,1.5,0,0,5,2,0,2
1596,9,4,0,0,0,definite tsunami,Earthquake and Landslide,6.9,JAPAN,"BEPPU BAY, KYUSHU",33.3,131.7,5,2,2,708,0,1,1,80,1
1597,9,10,0,0,0,probable tsunami,Earthquake and Landslide,6.4,JAPAN,"BEPPU BAY, JAPAN",33.3,131.6,0,1,1,40,0,0,0,0,0
1601,9,8,1,0,0,event that only caused a seiche or disturbance in an inland river,Earthquake,6.2,SWITZERLAND,,46.8,8.5,0,0,0,0,0,0,0,0,0
1602,2,8,0,0,0,definite tsunami,Earthquake and Landslide,7.2,JAPAN,"BOSO, JAPAN",35.1,140.5,0,1,1,0,0,0,0,0,0
1604,11,24,18,30,0,definite tsunami,Earthquake,8.5,PERU,S. PERU,-17.88,-70.94,5,4,3.5,74,0,24,3,0,3
1604,12,29,0,0,0,very doubtful tsunami,Earthquake,8,CHINA,SOUTH CHINA SEA,25,119.5,0,0,0,0,0,5,2,0,0
1605,2,3,0,0,0,definite tsunami,Earthquake,7.9,JAPAN,NANKAIDO,33,134.9,10,3,3,5000,0,24,3,700,3
1605,2,3,0,0,0,definite tsunami,Earthquake,7.9,JAPAN,ENSHUNADA,33.5,138.5,0,3,0,1001,0,1,1,80,1
1608,4,20,0,0,0,probable tsunami,Earthquake,7.6,IRAN,CASPIAN SEA,36.4,50.5,0,0,0,0,0,0,0,0,0
1609,4,0,0,0,0,questionable tsunami,Earthquake,0,GREECE,ISLAND OF RHODES,36.4,28.4,0,0,4,0,0,0,0,0,0
